댓글 작성자,영상 시간,댓글 내용
Sofia Martinez,0:42,hii
Juan Gonzalez,0:42,Hi
Morgan Bartlett,0:42,Hi
georgi gaming,0:42,finnaly a stream
Evie Ellaby,0:42,hiiiiiiiii
Zoey Stoddard,0:42,hi
Starlight Sketches,0:42,hi lia❤❤❤❤
Seba Alhujaili,0:42,Hi
Brain dead Fishy,0:42,Hi
Subbing to everyone who subs to me,0:42,Hiiiiii
Leona Zejnaj,0:43,Omg hiiii
SlyflyfoxPlayz,0:43,Hey LIA!
Fate Scoped,0:43,Yesss your playing fortnite
An!mal Loʌer,0:45,hey
Sintija Sidorova,0:46,omg i love you
Kenya Bouye,0:46,Hello
xDanZovs Sister,0:46,Ayy
Jamar Dao,0:46,hey lia
Bridgit: Elias,0:46,Hi
NATOzoombro,0:47,Hi
Alicia Chavarria,0:47,hi
Maria Guadalupe Nunez Cardenas,0:47,OMG 😭
CEO of Skittles,0:47,Hii:videocall:
Chris,0:47,hi
Madeleine Jiricek,0:47,hi!!!
dee and her life,0:47,hi
PinkxClouds,0:47,I’m your biggest fan :>>
Kennedy Rukundo,0:48,hi
Gacha_ Music,0:48,Hi
Elijah Massey,0:48,Hi
Janier Mendex,0:48,Your finally playing
Kendall Humphrey,0:48,Big fan
creepy_monster UwU,0:48,hi
Jayden Soutthivong,0:48,I want to add you
Wolfie Edits and games,0:48,Hiiiii
Emma Woolf,0:48,Hi
Roro_008,0:49,i was just watching ur vid
Marnie Ware,0:49,Hi love youuu
Jaslynn Sandoval,0:50,HII LIA
tragetale,0:50,oi-
Leo Jackson,0:50,Ima huge fan
Lucia Pemelmann,0:50,YASSSSS
Honey- roblox,0:50,LIAAAAA
The magical artic wolf Gamer,0:50,Hewoo
Ducky Duck,0:50,I don’t play fortnite often
•BloxyPiie•,0:50,hai
Noeline Sybblis,0:50,Hiii
ZeRo_ PianoSpace,0:50,Hi
kxiera _bxxo,0:50,ITZ SNIPER WOLF
Showmehi Vlogs,0:50,The season is almost over
Obaid Rashed,0:51,I love u
Kathryn Piper,0:51,HI
パンダパステル,0:51,omg hi
Shabee Fatima,0:51,hello Lia
Soulgamer2011,0:51,Heyyyy
Mallory Schippers,0:51,Hiiiiiiii notice me!!!!!!!!!
You._. Alien,0:51,hiii
Abdullah Afridi,0:51,hi guys
nana Playz,0:51,Luv u!!!!!
シSophia,0:51,Oh ma good
Ashley Tewarie,0:51,hi
Tuyen Huynh,0:51,Hi
Jame H,0:51,hi
Bazzer Brooke,0:52,HIIIII
Ellie Corey,0:52,Omgg
Imanol Rico,0:52,Hi
Nailea Lomeli,0:52,HIII
Basically._. Gacha,0:52,I've been wanting this for sooo long!!!!
Maya Orellana,0:52,What the heck this is real
Khadija Nasr,0:52,hiiiiiiiiiiiiiiiiii lia
Jolene Liu,0:57,hi
Danna Contreras,0:57,HEY
lorenzo saidi,0:57,Hiiiii
OddGaming,0:57,Hello
kidboy_savage,0:57,hiii
Ultra Games,0:58,Sup
saigeetha mogali,0:58,Hii
YEETBOY bear_2552,0:58,yoo
Fire 5000 YT,0:58,lol first
FRENCH FRIES,0:58,:D
Lightning Studios,0:59,Omg I dig fan
Jan Andre Reyes,0:59,Hi
Jon hijo_0453,0:59,hiiiiiii
Cedric Jackson,0:59,Sssniperwolf
Lexie Rickards,0:59,Hi
kr4zb1tch,0:59,hiiii
Rashad Garcia,1:00,Hi
Kamara Bakare,1:00,Hi
Felicity Ortiz,1:00,Hi
Trinity Vlogs,1:01,Hi
Michelle Clark,1:01,hi
Unicorn Gal12345,1:01,ur the best youtuber ever
Lil Pig,1:01,Hi
Shevonne Pacheco,1:01,hi sssniperwolf
Xbubble teaX,1:01,omg your finally playing fortnite again!!
vivian hanenberg,1:01,hiiiiiiiiiiiiiiiiiiiiii
mr cow09 art offical,1:01,hi lia
Mythics Mythical,1:01,Hi
Ms M.Y.A,1:01,say hi Mayesha
redstreem_ playz,1:01,hi
ibrah playz,1:01,hello sniper wolf
Aleigha Torres,1:01,Omg omg omg
Brody Whalen,1:02,Hi
seth brollins,1:02,hi
Annabelle Babe,1:02,I love you sssniperwolf
Tooey R,1:02,Hiiiii
Ben Baccella,1:02,hi
Kimberly Miller,1:02,hii
Anicia Garvin,1:02,LIA HIIIII
Jeffy Thirtyacer,1:02,Hi
Garnet Universe,1:02,Hi
hailey lecuru,1:03,Your so pretty
Luis Negrete,1:03,Helllo
