댓글 작성자,영상 시간,댓글 내용
에온,1:11,미쳤어ㅠㅠㅠㅠㅠ
oi k,1:12,미쳤다
구리는Cu,1:12,내 최애곡ㅜㅠ
박정임,1:12,대박
땅민,1:12,후어아
Rai,1:12,wow
안졸리냐 졸려,1:13,크툽오빠 사랑해요 진짜
한군,1:13,와미쳤나ㅋㅋㅋ
혜진,1:13,지려써요
전승준,1:13,ㅠㅠ
geumjayoung zi,1:14,화음 쩔어ㅠㅠ
uk_1246,1:14,이라온은 음원 삼켰네
구독안하면내프사미래너여친,1:15,오시 개잘하네
혜진,1:17,....반햇어요
혜진,1:21,💓
박정임,1:23,라온~앓이ㅜㅜ
밤양갱,1:24,아나 존너 잘생겻러ㅠㅠㅠㅠㅠㅠㅠㅠ
돼지,1:26,목소리 실화냐ㄷ
김영찬,1:26,화음 미쳤다..
wisdomly,1:28,오!!!!!!!
애응,1:33,이라온님 최고이심 ㅠ
리치젤리,1:37,ㅠㅠㅠㅠㅠㅠㅠ
한우민,1:38,와~~
자포자기,1:38,ㅁㅊ
geumjayoung zi,1:38,영은님 목소리 더 듣고 싶다ㅠㅠ
김미현,1:45,👏👏👏👏👏👏
전승준,1:46,머시따
김윱늅,1:46,오진다
박머원,1:46,와 반광옥 목소리로 들어도 뒤지네
reebo Ha,1:48,와..반광옥 지린다
진또배기,1:49,와
geumjayoung zi,1:51,와 영은님 ㅠㅠ 사랑해요ㅠㅠ
김민용,1:52,광옥형 짱이다..ㅠ
정유진,1:52,라 온 짱 짱
꿀무룩,1:52,"라온오빠 날 가져요,,ㅇ어엉엉 ㅠㅠ"
한군,1:52,와 두고두고 맨날 봐야지
김미현,1:53,와
혜진,1:58,하..고막녹아요
김윱늅,1:58,전상근님 더 나왔으면 ㅠ
구독안하면내프사미래너여친,1:58,ㄷㄷ
이혜림,1:59,언니❤️❤️❤️❤️
wisdomly,2:00,라온님평온한표정💙
JO SangWoo,2:01,일주일치 펜티 오늘안에 다 쓰겠네
reebo Ha,2:02,와 정영은미쳤다
박정임,2:02,라온님 살빠지심?
김덕호,2:06,오 ㄷㄷ
reebo Ha,2:08,정영은 소름;;
아우내,2:10,전상근 사랑해요
Ss Lee,2:10,눈알 돌아 가겠다ㅜ 다 놓치기싫어
LDaeHyun,2:10,미친
geumjayoung zi,2:10,상근님 ㅠㅠ
LDaeHyun,2:11,머야
돼지,2:17,ㄷㄷ
김성엽,2:22,개미쳤네 진짤루
이건후,2:23,ㅠㅠㅠㅠㅜㅜ
백혜진,2:23,라온오빤 언제 불러요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
한재,2:26,와 갓상근..
김민용,2:26,와..
노민영,2:29,라온님 나이가 어찌되나요ㅜ
geumjayoung zi,2:30,라온님♡♡
김영찬,2:30,ㅇㅘ
은승연,2:31,진모오빠 사랑해ㅠㅠㅠ최고야ㅠㅠㅠㅠ♥️
박머원,2:31,이라온 뒤지게 잘생겼네
밤양갱,2:32,와 소름
버비,2:34,반광옥 쌉지린다
reebo Ha,2:34,캬~
구리는Cu,2:35,ㅜㅜㅠ
박정임,2:36,역시~~~
